,I,V
0,0,0.2
1,1,2.1
2,2,4.5
3,3,6.3
4,4,8.4
5,5,10.2
6,6,13.0
7,7,14.9
8,8,16.5
9,9,18.8
10,10,20.3
11,11,22.7
12,12,24.4
13,13,26.3
14,14,29.0
15,15,30.6
16,16,32.7
17,17,35.0
18,18,37.0
19,19,38.1
20,20,40.5
21,21,42.5
22,22,44.5
23,23,46.3
24,24,48.5
25,25,50.2
26,26,52.7
27,27,54.9
28,28,56.2
29,29,58.2
30,30,60.4
31,31,62.9
32,32,64.4
33,33,66.3
34,34,68.3
35,35,70.7
36,36,72.1
37,37,74.1
38,38,76.6
39,39,78.2
40,40,80.8
41,41,82.5
42,42,84.1
43,43,86.1
44,44,89.0
45,45,90.4
46,46,92.4
47,47,94.6
48,48,96.2
49,49,98.9
50,50,101.0
51,51,102.6
52,52,105.0
53,53,106.5
54,54,108.8
55,55,110.9
56,56,112.8
57,57,114.3
58,58,116.9
59,59,118.8
60,60,120.5
61,61,122.8
62,62,124.5
63,63,126.4
64,64,128.6
65,65,130.3
66,66,132.9
67,67,134.5
68,68,137.0
69,69,138.4
70,70,140.7
71,71,142.1
72,72,144.1
73,73,146.4
74,74,148.7
75,75,150.9
76,76,152.2
77,77,154.4
78,78,156.1
79,79,158.7
80,80,160.7
81,81,162.1
82,82,164.5
83,83,167.0
84,84,168.9
85,85,170.2
86,86,172.7
87,87,174.4
88,88,176.1
89,89,178.9
90,90,180.1
91,91,182.7
92,92,184.3
93,93,186.9
94,94,188.1
95,95,190.9
96,96,192.4
97,97,194.2
98,98,196.3
99,99,198.5
